section,part,distinction,target,type,issue,context,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,line_start,line_end,decision,notes,status
A. Missing divisios,pt2,d.30,d30-divisio,divisio,Was flagged as missing — patched chunker now auto-detects it,Auto-detected at lines 10330–10374 after RE_DIVISIO patch (anti-DIST anchor + line-start anchor),,,,,10330,10374,Use 10330–10374 for d30-divisio (auto-detected after pt1 patches landed),Resolved by patches applied 2026-05-01 to RE_DIVISIO; verify with boundary-audit.py,done
A. Missing divisios,pt2,d.43,d43-divisio,divisio,Was flagged missing — found after extending DIVISIO regex to tolerate TE→TK substitution,"Real markers: 'C0MMENTARIU8 IN DI8TINCTI0NEM XLIll.' line 34150; 'DIVISIO TKXTUS.' line 34161 (E→K mangle); TRACTATIO QUAESTIONUM at 34219. Was missed because RE_DIVISIO required TE not T[EK].",761,762,861,862,34150,34240,Use 34150–34240 for d43-divisio (commentarius + divisio textus + tractatio quaestionum); first quaestio at 34241,"Verified from PDF p.762 (end of d.43 littera CAP. I) and p.763 (COMMENTARIUS IN DISTINCTIONEM XLIII / De potentia divina quoad immensitatem / DIVISIO TEXTUS — running head 'DIST. XLIII. DIVISIO TEXTUS.' is on this same page).",done
A. Missing divisios,pt2,d.44,d44-divisio,divisio,Was flagged missing — found after extending DIVISIO regex to tolerate I→J substitution,"Real markers: 'C0MMENTARIU8 IN DI8TINCTI0NEM XLIV.' line 35826; 'DIVJSIO TEXTUS.' line 35837 (J→I mangle); TRACTATIO QUAESTIONUM at 35857; ARTICULUS 1. line 35887. Was missed because RE_DIVISIO required DIV[IT]SIO not DIV[ITJ]SIO.",779,780,879,880,35826,35892,Use 35826–35892 for d44-divisio (commentarius + divisio textus + tractatio + ART. I header); first quaestio at 35893,"Verified from PDF p.779 (DISTINCTIO XLIV / CAP. I 'An Deus possit facere aliquid melius'). Note: d.44 has multi-pars structure with additional divisios at 37375 and 37392 — those are for ART. II / pars 2 and need separate chunks.",done
A. Missing divisios,pt2,d.46,d46-divisio,divisio,Was flagged missing — found after extending DIVISIO regex to tolerate D[IL]VISIO substitution,"Real markers: 'C0MMENTARIU8 IN DISTINCTIONEM XLVI.' line 39553; 'DLVISIO TEXTUS.' line 39565 (I→L mangle in DIVISIO); TRACTATIO QUAESTIONUM at 39646; ARTICULUS UNICUS line 39659. Was missed because RE_DIVISIO required D[IT]V not D[IL]V[ITJ].",814,818,914,918,39553,39665,Use 39553–39665 for d46-divisio (commentarius + divisio textus + tractatio + articulus unicus header); first quaestio at 39666,"Verified from PDF p.814 (DISTINCTIO XLVI / CAP. I 'Quod voluntas Dei, quae ipsa est, in nullo casuri potest'). Note also: bounded the dedup-keep-last to 100-line window to avoid late index/body references being mistaken for section breaks.",done
B. Pars-transition gaps,pt2,d.27,d27 gap,pars-transition,Content between end of one pars and start of next (78 lines),"With patches, auto-chunker detects d27-divisio-dup2 at lines 6302–6356 — that's the P. II commentarius+divisio. Lines 6282–6301 are end of P. I dubia content (~20 lines).",,,,,6282,6359,"Decision: CREATE new d27-p2-divisio chunk for lines 6302–6356; lines 6282–6301 belong with end of d27-p1-dubia.","Auto-resolved after pt2 chunker patches; verify with pars-relabel.py to convert -dup2 → -p2- IDs.",done
B. Pars-transition gaps,pt2,d.31,d31 gap,pars-transition,Content between pars (117 lines),"With patches, auto-chunker detects d31-divisio-dup2 at lines 12108–12162 — that's the P. II commentarius+divisio. Lines 12049–12107 are end of P. I dubia + transitional matter (~58 lines).",,,,,12049,12165,"Decision: CREATE new d31-p2-divisio chunk for lines 12108–12162; lines 12049–12107 belong with end of d31-p1-dubia.","Auto-resolved after pt2 chunker patches; verify with pars-relabel.py to convert -dup2 → -p2- IDs.",done
B. Pars-transition gaps,pt2,d.37,d37 gap,pars-transition,Content between pars (332 lines) — sequence jumps p1 → p3,"Resolved by section C: d.37 has 2 pars not 4. Gap content is end-of-P. I (lines 23034–23291) plus P. II commentarius/divisio (lines 23292–23365). Real P. II commentarius at line 23292 ('COMMENTAMUS IN DISTINCTIONEM XXXVII.' OCR-mangled; Pars II at 23293; DIVISIO TEXTUS at 23309).",,,,,23034,23365,"Decision: SPLIT the gap. Lines 23034–23291 = end of d37-p1 final question/dubia. Lines 23292–23365 = new d37-p2-divisio chunk (commentarius + Pars II + De immutabilitate Dei quantum ad locum + DIVISIO TEXTUS). Then chunks 23365+ become d37-p2 quaestiones.","Verified by inspection of raw lines; matches Bonaventure's divisio textus from PDF p.637.",done
B. Pars-transition gaps,pt2,d.40,d40 gap,pars-transition,Content between pars (164 lines) — sequence jumps p3 → p1-a4,"Resolved by section C and apostrophe-prefix regex patch: not actually a pars-transition gap. Lines 29715–29732 are the ARTICULUS IV header + intro ('De reprobatione et specialiter de obduratione' / 'Consequenter est quaestio de tertio articulo, scilicet de reprobatione...'). Line 29733 is 'QUAESTIO I.' (was hidden by leading apostrophe). Line 29883 is QUAESTIO II.",,,,,29715,29878,"Decision: ABSORB lines 29715–29732 into d40-p2-a2-q1 chunk (the articulus IV header serves as that chunk's prelude). Lines 29733–29882 become d40-p2-a2-q1; lines 29883–30129 become d40-p2-a2-q2.","Auto-chunker now produces correct boundaries — verified from regenerated dry-run after apostrophe-prefix fix.",done
C. Pars-count verification,pt2,d.37,d37 pars count,pars-verify,Auto-labeled 4 pars; real count is 2,"Real structure: 2 top-level pars per Bonaventure's divisio textus. P. I = 'Quomodo Deus sit in rebus et in locis corporalibus' (lines 21511–23291); P. II = 'Cumque divina natura' / 'De immutabilitate Dei quantum ad locum' (commentarius at line 23292). Auto-chunker's p3 and p4 are sub-divisions WITHIN P. I that got mis-promoted.",636,637,736,737,21511,,Merge: real-p1 = current p1+p2; real-p2 = current p3+p4. Verified at PDF p.637 (PARS I heading) and line 23292 (P. II commentarius).,"Verified from PDF p.637 (COMMENTARIUS IN DISTINCTIONEM XXXVII / PARS I / Quomodo Deus sit in rebus et in locis corporalibus / DIVISIO TEXTUS). Bonaventure's divisio explicitly says 'Prima pars habet tres partes' (sub-divisions within P. I), then 'Cumque divina natura. Haec est secunda particula' for P. II.",done
C. Pars-count verification,pt2,d.40,d40 pars count,pars-verify,Auto-labeled 3 pars; real count is 2 (with 4 articuli total),"Real structure per Bonaventure's divisio textus: d.40 has 2 internal pars (de praedestinatione + de reprobatione), each with 2 articuli (4 total). NOTE: Bonaventure's divisio also says d.40 is the first of two main parts of the larger work — the second main part is in d.41. So within d.40, structure is: P. I (de praedestinatione) = a1 (de praedestinatione) + a2 (de electione); P. II (de reprobatione, starts at line 28233 'Cumque praedestinatio sit gratiae praeparatio') = a3 (de reprobatione) + a4 (de obduratione). With patches, auto-chunker now correctly detects all 4 articuli (a1-q1, a2-q1/q2, a3-q1/q2, a4-q1/q2).",701,,801,,28024,30397,"Re-label: real-p1 = current p1 (a1, a2 chunks); real-p2 = current p2+p3 chunks (a3, a4). Auto-chunker's flat a1–a4 maps to: a1→p1-a1, a2→p1-a2, a3→p2-a1, a4→p2-a2. P. II commentarius/divisio at lines 28224–28266 (auto-detected as divisio-dup2).","Verified from PDF p.701 (COMMENTARIUS IN DISTINCTIONEM XL / DIVISIO TEXTUS / 'Prima pars habet duas. In prima agit de praedestinatione; in secunda de reprobatione, ibi: Cumque praedestinatio sit praeparatio gratiae'). a4-q1 was hidden by a leading apostrophe ('QUAESTIO I.) at line 29733 — patched regex now handles.",done
